Date,ActivePower,WindSpeed,TheoreticalPower,WindDirection,PowerError,Status,WindSpeed_theta,ActivePower_theta,TheoreticalPower_theta,PowerError_theta,WindSpeed_phi,ActivePower_phi,TheoreticalPower_phi,PowerError_phi,Fuzzy_Label
02 01 2018 16:30,3589.85888671875,13.6978597640991,3600.0,204.802307128906,10.14111328125,0.0,0.5434362407737934,0.9920264031177648,1.0,0.0028169759114583,0.2958099253891504,0.0040027566249902,0.0,0.9943818743018428,0.5
02 01 2018 16:40,3584.23510742187,12.7583599090576,3593.42108884215,202.650802612304,9.18598142027986,0.0,0.506163390983828,0.990473389587626,0.9981725246783748,0.0025516615056332,0.3278771824971773,0.0047861028749285,0.0009145733409177,0.994909665798566,0.5
02 01 2018 16:50,3599.00805664062,12.7651796340942,3593.66423795296,201.257095336914,5.343818687660132,0.0,0.5064339504581419,0.9945529575801856,0.9982400660980444,0.0014843940799055,0.3276386922850173,0.0027309590347617,0.0008807419748079,0.9970356121599492,0.5
02 01 2018 17:00,3602.63793945312,13.0772199630737,3600.0,203.440704345703,2.637939453119998,0.0,0.5188135503570164,0.995555354157832,1.0,0.0007327609591999,0.3168173272682975,0.0022272726401236,0.0,0.9985355511725276,0.5
02 01 2018 17:10,3550.56396484375,12.593409538269,3585.45131707174,205.153503417968,34.88735222799005,0.0,0.4996193022751278,0.981175062388324,0.9959586991865944,0.0096909311744416,0.3336718172176939,0.0095019051920542,0.002024741701846,0.9808041631845312,0.5
02 01 2018 17:20,3552.78295898437,12.5136699676513,3580.13958133505,205.008193969726,27.356622350680027,0.0,0.4964557881755768,0.9817878403338584,0.994483217037514,0.0075990617640777,0.3364912052886811,0.0091897625444475,0.0027660212506979,0.9849164969431918,0.5
02 01 2018 17:30,3585.01098632812,12.534399986267,3581.61318305151,204.120300292968,3.3978032766099204,0.0,0.4972782117936964,0.9906876494964072,0.9948925508476416,0.0009438342435027,0.3357570986116583,0.0046779566377218,0.0025602627821674,0.9981141114791596,0.5
02 01 2018 17:40,3421.17602539062,11.9644298553466,3516.31020021473,201.998901367187,95.13417482410978,0.0,0.4746657430843484,0.9454444246801612,0.9767528333929804,0.0264261596733638,0.356239547422377,0.0280427313305584,0.01176027989656,0.9485084057448938,0.5
02 01 2018 17:50,3406.0400390625,11.9457702636718,3513.26434859883,194.378692626953,107.22430953633013,0.0,0.4739254596730155,0.941264603545892,0.975906763499675,0.0297845304267583,0.3569207227370181,0.0302562547871231,0.0121935087957549,0.9421538592846892,0.5
02 01 2018 18:00,3515.61010742187,12.2070798873901,3550.54211738128,189.523803710937,34.93200995941015,0.0,0.4842924164120288,0.9715225119162888,0.9862616992725778,0.0097033360998361,0.3474433864147794,0.0144444143607731,0.0069166619546928,0.9807798275930888,0.5
02 01 2018 18:10,3515.96508789062,12.2751502990722,3558.39906800035,190.579498291015,42.43398010972987,0.0,0.486992979074336,0.9716205402068387,0.9884441855556528,0.0117872166971471,0.3449962630254076,0.0143939765357607,0.005811485445903,0.976700206322778,0.5
02 01 2018 18:20,3475.4189453125,12.7226400375366,3592.03630693273,187.612503051757,116.61736162023,0.0,0.5047462737819736,0.9604236733501168,0.9977878630368694,0.0323937115611749,0.3291277305995742,0.0201876396351878,0.0011072932236998,0.9372454303074172,0.5
02 01 2018 18:30,3471.15698242187,12.2653703689575,3557.31619028323,189.437194824218,86.15920786135985,0.0,0.4866049791569699,0.9592467270859256,0.988143386189786,0.0239331132948221,0.345347303447193,0.0208004802818726,0.0059636613196882,0.9532525845993788,0.5
02 01 2018 18:40,3281.7548828125,11.7036895751953,3468.15991321422,192.261901855468,186.40503040172007,0.0,0.4643213739563259,0.906943105659454,0.9633777536706168,0.0517791751115889,0.3658203967865124,0.0487989883202966,0.018652674586394,0.901539835857474,0.5
02 01 2018 18:50,2955.11499023437,10.9635295867919,3259.41290546653,190.457199096679,304.29791523216,0.5,0.4349569499808865,0.8167410998769129,0.9053924737407028,0.0845271986756,0.3937700361161634,0.1008723258011299,0.0496525138852689,0.8441215696963199,0.5
